x,y,amenity,classification,key_value,category
77.2251757,28.6683615,bus_station,activity,{'amenity': 'bus_station'},commercial
77.2788687,28.6111916,theatre,activity,{'amenity': 'theatre'},commercial
77.2768034,28.6144231,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1940746,28.6009268,embassy,activity,{'amenity': 'embassy'},commercial
77.1917746,28.5954831,embassy,activity,{'amenity': 'embassy'},commercial
77.1819343,28.5891125,embassy,activity,{'amenity': 'embassy'},commercial
77.180038,28.5897641,embassy,activity,{'amenity': 'embassy'},commercial
77.1856657,28.5912319,embassy,activity,{'amenity': 'embassy'},commercial
77.1891752,28.590285,embassy,activity,{'amenity': 'embassy'},commercial
77.1857326,28.5920784,embassy,activity,{'amenity': 'embassy'},commercial
77.1789689,28.5872469,embassy,activity,{'amenity': 'embassy'},commercial
77.1864655,28.5933815,embassy,activity,{'amenity': 'embassy'},commercial
77.1835741,28.5884771,embassy,activity,{'amenity': 'embassy'},commercial
77.1899653,28.5920747,embassy,activity,{'amenity': 'embassy'},commercial
77.1932387,28.5983229,embassy,activity,{'amenity': 'embassy'},commercial
77.1819434,28.587721,embassy,activity,{'amenity': 'embassy'},commercial
77.1872808,28.5948695,embassy,activity,{'amenity': 'embassy'},commercial
77.1949563,28.6020528,embassy,activity,{'amenity': 'embassy'},commercial
77.1909272,28.593804,embassy,activity,{'amenity': 'embassy'},commercial
77.1789112,28.5887908,embassy,activity,{'amenity': 'embassy'},commercial
77.1805708,28.5853414,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1847524,28.589971,embassy,activity,{'amenity': 'embassy'},commercial
77.2692214,28.5336161,fast_food,activity,{'amenity': 'fast_food'},commercial
77.2108258,28.6411555,cinema,activity,{'amenity': 'cinema'},commercial
77.2427321,28.6166339,theatre,activity,{'amenity': 'theatre'},commercial
77.0493833,28.5965201,hospital,activity,{'amenity': 'hospital'},commercial
77.0580608,28.590917,bar,activity,{'amenity': 'bar'},commercial
77.0622043,28.588872,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.0563222,28.5892292,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.0589614,28.5902843,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.0573592,28.58661,hospital,activity,{'amenity': 'hospital'},commercial
77.1497987,28.7237864,hospital,activity,{'amenity': 'hospital'},commercial
77.1571367,28.7170924,police,activity,{'amenity': 'police'},commercial
77.1580454,28.703387,cinema,activity,{'amenity': 'cinema'},commercial
77.1576044,28.7029917,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1580765,28.7029165,,activity,{'shop': 'supermarket'},commercial
77.1577761,28.7026341,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1864987,28.5701843,fuel,activity,{'amenity': 'fuel'},commercial
77.1843122,28.5685669,fire_station,activity,{'amenity': 'fire_station'},commercial
77.1860267,28.5722525,hospital,activity,{'amenity': 'hospital'},commercial
77.1842457,28.573859,school,activity,{'amenity': 'school'},commercial
77.1783234,28.5697886,school,activity,{'amenity': 'school'},commercial
77.1781517,28.5712962,school,activity,{'amenity': 'school'},commercial
77.1731735,28.5728037,cinema,activity,{'amenity': 'cinema'},commercial
77.1845461,28.5778727,college,activity,{'amenity': 'college'},commercial
77.243926,28.5467274,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.2437865,28.5465578,taxi,activity,{'amenity': 'taxi'},commercial
77.2445375,28.5469254,hospital,activity,{'amenity': 'hospital'},commercial
77.2441405,28.5468405,,activity,{'shop': 'convenience'},commercial
77.2466095,28.5481486,school,activity,{'amenity': 'school'},commercial
77.186576,28.6428339,cafe,activity,{'amenity': 'cafe'},commercial
77.1774672,28.6324664,,activity,{'shop': 'convenience'},commercial
77.1810077,28.6345193,police,activity,{'amenity': 'police'},commercial
77.0682683,28.6301441,police,activity,{'amenity': 'police'},commercial
77.0652214,28.6361048,restaurant,activity,{'amenity': 'restaurant'},commercial
77.0747469,28.6390596,cinema,activity,{'amenity': 'cinema'},commercial
77.0819031,28.6297371,cinema,activity,{'amenity': 'cinema'},commercial
77.2125335,28.6410357,cafe,activity,{'amenity': 'cafe'},commercial
77.1941388,28.5663367,school,activity,{'amenity': 'school'},commercial
77.1686468,28.6016242,school,activity,{'amenity': 'school'},commercial
77.2323217,28.6566589,atm,activity,{'amenity': 'atm'},commercial
77.2084285,28.6334431,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1167453,28.7496454,cafe,activity,{'amenity': 'cafe'},commercial
77.218478,28.6439598,car_rental,activity,{'amenity': 'car_rental'},commercial
77.2865244,28.6183692,atm,activity,{'amenity': 'atm'},commercial
77.2863948,28.618614,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.2865333,28.6183527,atm,activity,{'amenity': 'atm'},commercial
77.2868012,28.6179042,hospital,activity,{'amenity': 'hospital'},commercial
77.2876622,28.6167528,driving_school,activity,{'amenity': 'driving_school'},commercial
77.2866746,28.6170865,,activity,{'shop': 'car'},commercial
77.2862651,28.6169036,,activity,{'shop': 'optician'},commercial
77.2871589,28.6173922,,activity,{'shop': 'motorcycle'},commercial
77.2865691,28.6170543,,activity,{'shop': 'car'},commercial
77.2877305,28.6166351,,activity,{'shop': 'tyres'},commercial
77.2898678,28.6121001,dentist,activity,{'amenity': 'dentist'},commercial
77.2898985,28.6140205,hospital,activity,{'amenity': 'hospital'},commercial
77.2896502,28.613238,atm,activity,{'amenity': 'atm'},commercial
77.2885716,28.6152525,bank,activity,{'amenity': 'bank'},commercial
77.2861168,28.615407,doctors,activity,{'amenity': 'doctors'},commercial
77.2884671,28.6154439,bank,activity,{'amenity': 'bank'},commercial
77.2073909,28.5234495,fast_food,activity,{'amenity': 'fast_food'},commercial
77.2667188,28.5603226,school,activity,{'amenity': 'school'},commercial
77.0911037,28.6304355,fuel,activity,{'amenity': 'fuel'},commercial
77.0919202,28.6234479,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1232875,28.6530735,cinema,activity,{'amenity': 'cinema'},commercial
77.0915007,28.6197189,post_office,activity,{'amenity': 'post_office'},commercial
77.1211456,28.6500399,cinema,activity,{'amenity': 'cinema'},commercial
77.0955455,28.6226568,fuel,activity,{'amenity': 'fuel'},commercial
77.1189692,28.6536021,fuel,activity,{'amenity': 'fuel'},commercial
77.1064778,28.6425399,cinema,activity,{'amenity': 'cinema'},commercial
77.1206104,28.6509785,cinema,activity,{'amenity': 'cinema'},commercial
77.0866191,28.6190309,school,activity,{'amenity': 'school'},commercial
77.0952665,28.6225631,fuel,activity,{'amenity': 'fuel'},commercial
77.101681,28.6239117,bus_station,activity,{'amenity': 'bus_station'},commercial
77.0940113,28.6300965,school,activity,{'amenity': 'school'},commercial
77.0912218,28.623373,fountain,activity,{'amenity': 'fountain'},commercial
77.253059,28.568231,fuel,activity,{'amenity': 'fuel'},commercial
77.221368,28.568734,fuel,activity,{'amenity': 'fuel'},commercial
77.25884,28.573574,bank,activity,{'amenity': 'bank'},commercial
77.2191465,28.6342661,fast_food,activity,{'amenity': 'fast_food'},commercial
77.1736276,28.6926738,police,activity,{'amenity': 'police'},commercial
77.1763849,28.688928,,activity,{'leisure': 'park'},commercial
77.1826403,28.6853049,college,activity,{'amenity': 'college'},commercial
77.2952085,28.6557683,hospital,activity,{'amenity': 'hospital'},commercial
77.2813005,28.6602853,fast_food,activity,{'amenity': 'fast_food'},commercial
77.278842,28.6609627,,activity,{'shop': 'clothes'},commercial
77.2842171,28.6653614,restaurant,activity,{'amenity': 'restaurant'},commercial
77.2799953,28.6614428,school,activity,{'amenity': 'school'},commercial
77.2790244,28.6608921,atm,activity,{'amenity': 'atm'},commercial
77.2864265,28.6667194,,activity,{'leisure': 'park'},commercial
77.1019845,28.6386267,,activity,{'shop': 'jewelry'},commercial
77.1915396,28.6494696,,activity,{'shop': 'jewelry'},commercial
77.2045745,28.6973767,,activity,{'shop': 'jewelry'},commercial
77.2198524,28.6276711,,activity,{'shop': 'jewelry'},commercial
77.2283239,28.7035536,restaurant,activity,{'amenity': 'restaurant'},commercial
77.2265694,28.6998789,bar,activity,{'amenity': 'bar'},commercial
77.2271676,28.7000437,bar,activity,{'amenity': 'bar'},commercial
77.2265962,28.7000836,,activity,{'shop': 'convenience'},commercial
77.2265775,28.6999236,,activity,{'shop': 'convenience'},commercial
77.2258264,28.6990814,fast_food,activity,{'amenity': 'fast_food'},commercial
77.2284033,28.7034846,cafe,activity,{'amenity': 'cafe'},commercial
77.2688316,28.5622333,restaurant,activity,{'amenity': 'restaurant'},commercial
77.268987,28.5625256,pharmacy,activity,{'amenity': 'pharmacy'},commercial
77.2686705,28.562363,restaurant,activity,{'amenity': 'restaurant'},commercial
77.0666315,28.5877996,bus_station,activity,{'amenity': 'bus_station'},commercial
77.0675759,28.5750095,fuel,activity,{'amenity': 'fuel'},commercial
77.067756,28.5752361,fuel,activity,{'amenity': 'fuel'},commercial
77.1877269,28.5254199,,activity,{'shop': 'ticket'},commercial
77.132445,28.6537296,,activity,{'shop': 'electronics'},commercial
77.1324402,28.6537988,,activity,{'shop': 'electronics'},commercial
77.2673093,28.569753,,activity,{'leisure': 'sports_centre'},commercial
77.2671483,28.5654375,bank,activity,{'amenity': 'bank'},commercial
77.2679745,28.5669263,bank,activity,{'amenity': 'bank'},commercial
77.2685753,28.5629027,hospital,activity,{'amenity': 'hospital'},commercial
77.2681139,28.5626765,,activity,{'building': 'office'},commercial
77.2682749,28.5618567,post_office,activity,{'amenity': 'post_office'},commercial
77.2598635,28.5712512,fuel,activity,{'amenity': 'fuel'},commercial
77.2059889,28.6346445,,activity,{'shop': 'art'},commercial
77.234434,28.6563806,bank,activity,{'amenity': 'bank'},commercial
77.0846576,28.5560688,atm,activity,{'amenity': 'atm'},commercial
77.2181175,28.6253844,restaurant,activity,{'amenity': 'restaurant'},commercial
77.226395,28.5995254,restaurant,activity,{'amenity': 'restaurant'},commercial
77.2320267,28.6297269,restaurant,activity,{'amenity': 'restaurant'},commercial
77.2318985,28.629465,restaurant,activity,{'amenity': 'restaurant'},commercial
77.1328702,28.5384129,restaurant,activity,{'amenity': 'restaurant'},commercial
77.0971397,28.8366376,fuel,activity,{'amenity': 'fuel'},commercial
