x,y,amenity,classification,key_value,category,spatial_cluster
77.08190309999999,28.629737100000003,cinema,activity,{'amenity': 'cinema'},commercial,54
77.21253349999999,28.641035700000003,cafe,activity,{'amenity': 'cafe'},commercial,4
77.19413879999999,28.566336699999997,school,activity,{'amenity': 'school'},commercial,7
77.1686468,28.601624199999996,school,activity,{'amenity': 'school'},commercial,-1
77.2323217,28.656658899999996,atm,activity,{'amenity': 'atm'},commercial,4
77.2084285,28.633443100000004,restaurant,activity,{'amenity': 'restaurant'},commercial,4
77.11674529999999,28.7496454,cafe,activity,{'amenity': 'cafe'},commercial,-1
77.218478,28.6439598,car_rental,activity,{'amenity': 'car_rental'},commercial,4
77.2865244,28.618369199999997,atm,activity,{'amenity': 'atm'},commercial,26
77.2863948,28.618614,pharmacy,activity,{'amenity': 'pharmacy'},commercial,26
77.2865333,28.6183527,atm,activity,{'amenity': 'atm'},commercial,26
77.2868012,28.6179042,hospital,activity,{'amenity': 'hospital'},commercial,26
77.2876622,28.6167528,driving_school,activity,{'amenity': 'driving_school'},commercial,26
77.2866746,28.6170865,,activity,{'shop': 'car'},commercial,26
77.2862651,28.6169036,,activity,{'shop': 'optician'},commercial,26
77.28715890000001,28.6173922,,activity,{'shop': 'motorcycle'},commercial,26
77.2865691,28.6170543,,activity,{'shop': 'car'},commercial,26
77.28773050000001,28.616635100000003,,activity,{'shop': 'tyres'},commercial,26
77.2898678,28.6121001,dentist,activity,{'amenity': 'dentist'},commercial,26
77.28989849999999,28.614020500000002,hospital,activity,{'amenity': 'hospital'},commercial,26
77.2896502,28.613238,atm,activity,{'amenity': 'atm'},commercial,26
77.28857159999998,28.615252500000004,bank,activity,{'amenity': 'bank'},commercial,26
77.28611679999999,28.615407,doctors,activity,{'amenity': 'doctors'},commercial,26
77.28846709999999,28.615443900000002,bank,activity,{'amenity': 'bank'},commercial,26
77.20739090000001,28.523449499999998,fast_food,activity,{'amenity': 'fast_food'},commercial,5
77.26671879999999,28.560322600000003,school,activity,{'amenity': 'school'},commercial,9
77.0911037,28.630435499999997,fuel,activity,{'amenity': 'fuel'},commercial,17
77.0919202,28.6234479,restaurant,activity,{'amenity': 'restaurant'},commercial,27
77.1232875,28.653073499999998,cinema,activity,{'amenity': 'cinema'},commercial,28
77.0915007,28.619718900000002,post_office,activity,{'amenity': 'post_office'},commercial,27
77.12114559999999,28.650039899999996,cinema,activity,{'amenity': 'cinema'},commercial,28
77.0955455,28.6226568,fuel,activity,{'amenity': 'fuel'},commercial,27
77.11896920000001,28.6536021,fuel,activity,{'amenity': 'fuel'},commercial,28
77.1064778,28.6425399,cinema,activity,{'amenity': 'cinema'},commercial,18
77.1206104,28.650978499999997,cinema,activity,{'amenity': 'cinema'},commercial,28
77.0866191,28.619030900000002,school,activity,{'amenity': 'school'},commercial,27
77.09526650000001,28.6225631,fuel,activity,{'amenity': 'fuel'},commercial,27
77.101681,28.623911699999997,bus_station,activity,{'amenity': 'bus_station'},commercial,-1
77.0940113,28.630096500000004,school,activity,{'amenity': 'school'},commercial,17
77.0912218,28.623372999999997,fountain,activity,{'amenity': 'fountain'},commercial,27
77.253059,28.568231,fuel,activity,{'amenity': 'fuel'},commercial,9
77.221368,28.568734000000003,fuel,activity,{'amenity': 'fuel'},commercial,9
77.25884,28.573574,bank,activity,{'amenity': 'bank'},commercial,29
77.2191465,28.6342661,fast_food,activity,{'amenity': 'fast_food'},commercial,4
77.17362759999999,28.6926738,police,activity,{'amenity': 'police'},commercial,-1
77.1763849,28.688928000000004,,activity,{'leisure': 'park'},commercial,-1
77.18264029999999,28.6853049,college,activity,{'amenity': 'college'},commercial,-1
77.2952085,28.655768300000002,hospital,activity,{'amenity': 'hospital'},commercial,-1
77.2813005,28.6602853,fast_food,activity,{'amenity': 'fast_food'},commercial,30
77.278842,28.6609627,,activity,{'shop': 'clothes'},commercial,30
77.28421709999999,28.665361400000002,restaurant,activity,{'amenity': 'restaurant'},commercial,31
77.2799953,28.661442800000003,school,activity,{'amenity': 'school'},commercial,30
77.27902440000001,28.6608921,atm,activity,{'amenity': 'atm'},commercial,30
77.2864265,28.666719399999995,,activity,{'leisure': 'park'},commercial,31
77.1019845,28.6386267,,activity,{'shop': 'jewelry'},commercial,18
77.1915396,28.6494696,,activity,{'shop': 'jewelry'},commercial,4
77.20457449999999,28.6973767,,activity,{'shop': 'jewelry'},commercial,32
77.21985240000001,28.6276711,,activity,{'shop': 'jewelry'},commercial,4
77.2283239,28.703553600000003,restaurant,activity,{'amenity': 'restaurant'},commercial,12
